Moonchild Sanelly,gqom
Dislocation Dance,post-punk
House of Lords,album rock
House of Lords,arena rock
House of Lords,glam metal
House of Lords,hard rock
House of Lords,glam rock
As Everything Unfolds,metalcore
As Everything Unfolds,post-hardcore
Folk Devils,post-punk
Folk Devils,cold wave
Folk Devils,darkwave
Lesley Garrett,opera
Arkham Witch,doom metal
Arkham Witch,sludge metal
New Young Pony Club,new rave
New Young Pony Club,electroclash
New Young Pony Club,alternative dance
New Young Pony Club,indie dance
New Young Pony Club,electronic rock
Gifts From Crows,neoclassical
Love Remain,uk garage
Draper,chillstep
Agitated,noise rock
Adam Ant,new wave
Department S,new wave
Department S,post-punk
Victoria Wood,comedy
Brutality Will Prevail,hardcore
Brutality Will Prevail,hardcore punk
Brutality Will Prevail,melodic hardcore
The Darker My Horizon,hard rock
Michale Graves,psychobilly
The Sea Urchins,jangle pop
The Sea Urchins,indie pop
enkElination,symphonic metal
enkElination,gothic metal
enkElination,symphonic rock
Uli Jon Roth,neoclassical
Filmmaker,ebm
Filmmaker,darkwave
Filmmaker,cold wave
Filmmaker,industrial
Filmmaker,witch house
Fathoms,melodic hardcore
Fathoms,metalcore
Fathoms,djent
Fathoms,deathcore
The Complete Stone Roses,madchester
Hamish Stuart,album rock
Taylor McCall,red dirt
Porcupine Tree,progressive rock
Porcupine Tree,progressive metal
Porcupine Tree,art rock
Porcupine Tree,space rock
John Wiese & C. Spencer Yeh,christmas
East Exchange,afroswing
East Exchange,afrobeats
East Exchange,dancehall
Pat Travers,blues rock
Pat Travers,southern rock
Pat Travers,modern blues
Pat Travers,classic blues
Pat Travers,blues
Tomorrow,k-pop
The Cravats,post-punk
The Cravats,proto-punk
Ex Deo,melodic death metal
Ex Deo,symphonic metal
Ex Deo,death metal
Ex Deo,folk metal
Ex Deo,metal
Trash Talk,hardcore
Trash Talk,hardcore punk
Wolfbastard,black metal
The JB Conspiracy,ska punk
The JB Conspiracy,ska
Sassafras,roots rock
Dave Bainbridge,celtic rock
Dave Bainbridge,celtic
Dave Bainbridge,progressive rock
The Martin Harley Band,modern blues
The Martin Harley Band,blues
John & Wayne,singer-songwriter
